id,name,pa,pb,pc,qa,qb,qc,sa_max,sb_max,sc_max,phases,qa_max,qb_max,qc_max,qa_min,qb_min,qc_min
77,99a,0.02,0.02,0.02,0.00775,0.01808,0.002694,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
82,76a,0.02,0.02,0.02,0.039716,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
86,86a,0.02,0.02,0.02,0.033075,0.039716,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
99,91a,0.02,0.02,0.02,0.00831,0.030319,0.025725,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
101,93a,0.02,0.02,0.02,0.017183,0.018306,0.000281,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
106,100a,0.02,0.02,0.02,0.000281,0.000281,0.018758,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
107,101a,0.02,0.02,0.02,0.006595,0.000783,0.039716,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
110,105a,0.02,0.02,0.02,0.036745,0.035139,0.005634,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
112,108a,0.02,0.02,0.02,0.039716,-0.002953,-0.000844,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
116,610a,0.02,0.02,0.02,0.000254,0.000443,0.000292,0.024,0.024,0.024,abc,"(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)","(None, None, None)"
