,fb,tb,a,b,c
60,35,40,(0.12019146261284058-0.010108847719170876j),(0.11510203257152304-0.040036717602588395j),(0.10009404760368366+0.005076152279859001j)
61,40,41,0j,0j,(0.020000214408128048+0.010000108189451875j)
62,40,42,(0.12011400710241493-0.010201919876072768j),(0.11509490851456242-0.04013116531307876j),(0.08007346006986293-0.004943606403432612j)
63,42,43,0j,(0.03999974978907522+0.019999876528532124j),0j
64,42,44,(0.1200691997447482-0.0027610019555683505j),(0.09505048421792209-0.020493223251464385j),(0.1000485728476438+2.3152258641115623e-05j)
65,44,45,(0.04000715599565872+0.02000566473818314j),0j,0j
66,100,450,(-2.393769152848895e-15-2.1708054019539906e-15j),(3.401335805141068e-16+4.6576769131010605e-15j),(1.508418376554849e-14-1.3281354111901733e-15j)
67,45,46,(0.020000181096607277+0.010000101400140982j),0j,0j
68,44,47,(0.08002331912285571-0.02282209649115704j),(0.09503201726697973-0.020530163419024305j),(0.10001996846862324-3.3951132741720353e-05j)
69,47,48,(0.050000498840943895+0.010285135259765854j),(0.04999966017216153+0.010283918528977334j),(0.05000058564405516+0.014636212351755754j)
70,47,49,(0.015016198845977385-0.03623592193446467j),(0.030021722389298434-0.02939250636048192j),(0.03500893169869691-0.03469271599895525j)
71,3,5,0j,0j,(0.06002235588683361+0.0300213516244129j)
72,49,50,(1.1856317273262334e-05-0.02152257643846738j),(-0.019978400042589717-0.03968879124635693j),(0.02000394769750615-0.014975503794889105j)
73,50,51,(8.625708734316958e-06-0.021522113279384324j),(-0.019987331900884885-0.03969953051893719j),(-0.019995756503635987-0.03498432271074163j)
74,152,52,(0.45253426428831056+0.0216264071876514j),(0.2664125925749935-0.0019054577185252854j),(0.3066268140541968-0.0003241693971575587j)
75,52,53,(0.41208572139828026+0.0007171899697992503j),(0.2664202338798844-0.0021269489485639934j),(0.30636279475744554-0.0006708912247823609j)
76,53,54,(0.3718706122802364-0.019731983398172833j),(0.26640001069706803-0.0022582714136108696j),(0.30620209491143935-0.0009112176599813247j)
77,54,55,(0.019999871831637747+0.009998086138975034j),(0.020002161039306302+0.01000239158110044j),(1.251502334861284e-07-1.8561187512289878e-06j)
78,55,56,(1.4870550304649757e-14-4.826908382477557e-15j),(0.019999893781081548+0.009999947721974703j),(1.5036650710822713e-14+8.40691944249033e-15j)
79,54,57,(0.37142913740723926+0.006158994384827379j),(0.26614826205061926-0.0018242423940830195j),(0.32573870897563206-0.0014421879608712625j)
80,57,58,0j,(0.040005219914898985+0.02000415706605215j),0j
81,58,59,0j,(0.019999896976903735+0.009999949127723798j),0j
82,5,6,0j,0j,(0.04000012640578824+0.020000063620063055j)
83,57,60,(0.3904748023456739+0.007738990508478051j),(0.2456955498589445-0.003241958828436851j),(0.3444762032547597-0.0024139774960232896j)
84,60,61,(-0.02000018954933854-0.03971640102597333j),(-0.01999993274077311-0.028774836967320864j),(-0.020000330121765598-0.039716625925131935j)
85,61s,610,(-1.2339639635046023e-16+5.7791503224812064e-18j),(-2.576823606507526e-16-4.3462042172586685e-16j),0j
86,61,61s,(2.511251535716914e-13+4.8043100154244694e-08j),(7.720272966055264e-15+5.0233862354108146e-08j),(-4.4303822820460077e-13+4.8146660689993646e-08j)
87,60,62,(0.04587296981475932-0.0010164817842427977j),(0.07029062874268845+0.0002591322548783173j),(0.13464664480404495+0.00843889034152725j)
88,62,63,(0.04586635614017552-0.001009374892067842j),(0.07025472692089446+0.0002688248794223837j),(0.09458446848160541-0.011590844651903425j)
89,63,64,(0.02586966120676607+0.006758421326003379j),(0.09011835518900435+0.021192834637357293j),(0.11440207813277244+0.022932849038396704j)
90,64,65,(0.025870808566895366+0.006770206049817112j),(0.015126367153963175-0.013773447422880367j),(0.11412261208843562+0.022844542315925392j)
91,65,66,(6.826054940902153e-15+8.238583162567748e-15j),(1.2523558834666658e-14+4.011207591858577e-15j),(0.07500160646693467+0.0350007736989269j)
92,160r,67,(0.36420883814647587+0.07697592608425373j),(0.21526879270719648+0.04688807066222455j),(0.24912843460137693+0.06806904718826007j)
93,67,68,(0.12022168018032327+0.060218728193111574j),0j,0j
94,68,69,(0.10008292037753463+0.050079738098347676j),0j,0j
95,1,7,(0.8044160818964643+0.026196036217229518j),(0.3353124871046339-0.004201325553125265j),(0.470032133493487-0.004361408614899381j)
96,69,70,(0.06002327078101836+0.030021438518323316j),0j,0j
97,70,71,(0.04000072666448036+0.02000027797473746j),0j,0j
98,67,72,(0.18285929637647244+0.025031935014025553j),(0.2149046081232102+0.046819848681621236j),(0.22856933393806322+0.0675910496305263j)
99,72,73,0j,0j,(0.1201751297065441+0.06017288348191646j)
100,73,74,0j,0j,(0.0800401526379327+0.04003803659985304j)
101,74,75,0j,0j,(0.04000090333055465+0.020000475130691083j)
102,72,76,(0.18275712130445643+0.024920265387427417j),(0.21478505012975768+0.04652397136717458j),(0.10817450164349258+0.00714961047222287j)
103,76,77,(0.07999545585646438+0.04005790057707581j),(0.08002354584176322+0.04000349105038402j),(0.08030237602268792+0.04036093053648978j)
104,77,78,(0.07999421222005078+0.040040283523822114j),(0.040021754619143354+0.02000220966712913j),(0.08028626535652415+0.040343018165333776j)
105,78,79,(0.04000059794097998+0.02000020417059336j),(-5.7397213849132054e-15+2.2885636277819864e-14j),(2.9398457003350204e-14+1.604977958211455e-14j)
106,7,8,(0.8027721115283061+0.05213993598961516j),(0.3555861609885741+0.0018103532448514887j),(0.4891839332719334+0.007991860047347086j)
107,78,80,(0.03999707730957436+0.02001827292620627j),(0.03999959688401197+0.019995624054150292j),(0.08023160339059111+0.04023488187506309j)
108,80,81,(0.04000382423504501+0.02001130890366093j),(-1.6453743629166738e-07-3.1565853021223067e-06j),(0.08020016777723117+0.04019239943793782j)
109,81,82,(0.04000085464233001+0.019998163124724997j),(-8.223350393491858e-08-1.5785023002720239e-06j),(0.020002362936768645+0.010003032765864037j)
110,82,83,(-2.6316549241401795e-15+3.666385897874432e-14j),(-4.9579971417539575e-15-4.0756514850614064e-14j),(0.020000444848992615+0.010000233348365653j)
111,81,84,0j,0j,(0.06004712677326494+0.030044938203348873j)
112,84,85,0j,0j,(0.040000974826919326+0.02000051291745022j)
113,76,86,(0.02006840068075545-0.032290077153129045j),(0.08007963931637604-0.0280329433598772j),(-0.01997267768628647-0.042829237219171055j)
114,86,87,(0.04004230350473506+0.007419721879512331j),(0.08005048991080337+0.0015729366997059768j),(2.907372805304976e-05-0.003110432176559565j)
115,87,88,(0.04000059049619596+0.020000202068578193j),0j,0j
116,87,89,(2.7836438836165258e-05-0.012591028788277508j),(0.040041932071299066-0.018443890813739663j),(2.944834321901726e-05-0.0031087791379837194j)
117,8,9,(0.10011442104124026+0.0501114827839887j),0j,0j
118,89,90,0j,(0.03999983464133474+0.019999893603431147j),0j
119,89,91,(2.629717279457884e-05-0.012589179028737473j),(1.387826077327918e-05-0.03847780312046103j),(2.9897094836508813e-05-0.0031069407961374033j)
120,91,92,0j,0j,(0.04000081398936086+0.020000425422235263j)
121,91,93,(0.020022761003882054-0.0004855316416457234j),(0.020014565620008008+0.00035206870457835793j),(-0.020000612405252628-0.0002833182988989629j)
122,93,94,(0.04000059733164342+0.020000205848385747j),0j,0j
123,93,95,(1.1079677900504097e-15-2.2864278558141995e-14j),(0.04000462362215149+0.02000384966565544j),(2.9484060642104364e-14+1.616068727328223e-14j)
124,95,96,0j,(0.019999916472089537+0.009999946447129598j),0j
125,67,97,(0.060934210388628576-0.008615901733368493j),(0.00012843844068257914-0.0002013912767101097j),(0.020422027497312985+0.00010112308154980383j)
126,97,98,(1.5111174410916077e-05+0.006572536431667832j),(-5.04398523108648e-06+0.020168166095318532j),(4.5550241097465915e-05-0.04042583175955438j)
127,98,99,(-0.03999570766858607-0.013472389449905163j),(-3.9291880221280735e-06+0.02015090414683945j),(9.08090245004496e-06-0.040461721650873486j)
128,9,9r,(0.0601141917217414+0.030111129617075773j),0j,0j
