,fb,tb,a,b,c
70,62,63,(0.04323278973299371+0.0002796029478417972j),(0.07140204062343093+0.0004771430710806741j),(0.09170116330286625-0.010230435218772892j)
71,63,64,(0.023695181316887363+0.004367538869957417j),(0.09140204062343094+0.020954353878305798j),(0.11170116330286625+0.02099386747147614j)
72,64,65,(0.023695181316887363+0.004367538869957417j),(0.015357071877662143-0.014422170159461544j),(0.11170116330286625+0.02099386747147614j)
73,65,66,0j,0j,(0.0739295266622995+0.033747558610878525j)
74,160r,67,(0.34931466677537054+0.03990009527404202j),(0.20960275379154125+0.02626725924647399j),(0.24371479581334685+0.016498529038818936j)
75,67,68,(0.11696246653310206+0.05620703994908691j),,
76,67,72,(0.17565741293509315+0.029791277640607575j),(0.2128493130451421+0.04712673496989131j),(0.22536857451691486+0.05586193939933887j)
77,67,97,(0.05669478730717527-0.046098222315652464j),(-0.003246559253600837-0.020859475723417318j),(0.018346221296431986-0.03936341036051993j)
78,68,69,(0.09744120176843882+0.04680478409895183j),,
79,69,70,(0.05844034254928441+0.02805238348426654j),,
80,70,71,(0.03895467723232256+0.01869464690637556j),,
81,72,73,,,(0.11854522403701234+0.056717936517451654j)
82,72,76,(0.17565741293509315+0.029791277640607575j),(0.2128493130451421+0.04712673496989131j),(0.10682335047990256-0.0008559971181127967j)
83,73,74,,,(0.07962255585365656+0.0380668136609539j)
84,74,75,,,(0.03885516667138648+0.01856675213565352j)
85,76,77,(0.08044186988609059+0.038725225091343796j),(0.0777449027903295+0.037184146387577326j),(0.07771681166107042+0.037141270776978194j)
86,76,86,(0.018007232790786247-0.021055674745251798j),(0.07710795767798609-0.02277217073407857j),(-0.020977236881758343-0.04694612011761528j)
87,77,78,(0.08044186988609059+0.038725225091343796j),(0.03886634800424675+0.018584460325156826j),(0.07771681166107042+0.037141270776978194j)
88,78,79,(0.041409661993246+0.019933478474038903j),0j,0j
89,78,80,(0.039032207892844596+0.0187917466173049j),(0.03886634800424675+0.018584460325156826j),(0.07771681166107042+0.037141270776978194j)
90,80,81,(0.039032207892844596+0.0187917466173049j),0j,(0.07771681166107042+0.037141270776978194j)
91,81,82,(0.039032207892844596+0.0187917466173049j),0j,(0.01945602212387037+0.009318827946302132j)
92,81,84,,,(0.05826078953720005+0.027822442830676065j)
93,82,83,0j,0j,(0.01945602212387037+0.009318827946302132j)
94,84,85,,,(0.038830970070930476+0.018536350710003528j)
95,86,87,(0.038007232790786244+0.012019546929853969j),(0.07766508573728138+0.007639214695250675j),(-0.0009772368817583424-0.007230391365077179j)
96,87,88,(0.03900993365805712+0.01876395030705158j),,
97,87,89,(-0.001002700867270872-0.00674440337719761j),(0.03878998924970382-0.010956185905503416j),(-0.0009772368817583424-0.007230391365077179j)
98,89,90,,(0.03992285296263273+0.019082677550990707j),
99,89,91,(-0.001002700867270872-0.00674440337719761j),(-0.0011328637129289082-0.030038863456494116j),(-0.0009772368817583424-0.007230391365077179j)
100,91,92,,,(0.03902276311824167+0.01877599655108599j)
101,91,93,(0.01899729913272913+0.0015656733340343285j),(0.018867136287071092+0.00027977503628692844j),(-0.02-0.00028095365933442816j)
102,93,94,(0.03899729913272913+0.018748183588659907j),,
103,93,95,0j,(0.03886713628707109+0.01858546570700021j),0j
104,95,96,,(0.019432056562983746+0.00929084361365102j),
105,97,98,(-0.0009189279939011176+0.010821623964902737j),(-0.0010624820480480389+0.0003128083226541393j),(0.0010915362750033263-0.0017047699593011542j)
106,98,99,(-0.04000000000407454-0.008031128881613j),(-0.0010624820480480389+0.0003128083226541393j),(0.0010915362750033263-0.0017047699593011542j)
107,99,100,(-0.02000000000407454-0.00028095365933442816j),(-0.02-0.0002810092624623698j),(0.021091536275003327+0.000989643252920294j)
108,100,450,0j,0j,0j
109,97,197,(0.07761371530107639-0.0172041175280171j),(0.0178159227944472+0.004304758280817306j),(0.03725468502142866+0.002057088351319333j)
110,197,101,(0.07761371530107639-0.0172041175280171j),(0.0178159227944472+0.004304758280817306j),(0.03725468502142866+0.002057088351319333j)
111,101,102,,,(0.09725468502142867+0.04656279839899403j)
112,101,105,(0.09761371530107639-0.010609273903424248j),(0.037815922794447204+0.005087441605223002j),(-0.04-0.004789981295136592j)
113,102,103,,,(0.07777955704994229+0.03722000211059625j)
114,103,104,,,(0.03886862284278898+0.018583558306458997j)
115,105,106,,(0.07781592279444721+0.03727288194217175j),
116,105,108,(0.1176137153010764+0.026135858156155066j),(-0.02+0.0029531130370991547j),(-0.02+0.0008436944979652844j)
117,106,107,,(0.03889056068640265+0.018614692580757642j),
118,108,109,(0.1376137153010764+0.06585158690869317j),,
119,108,300,0j,0j,0j
120,109,110,(0.09866232543500528+0.047160924243363316j),,
121,110,111,(0.019444019415760877+0.009305722367152285j),,
122,110,112,(0.07921830601924441+0.03785520187621104j),,
123,112,113,(0.05943913939120653+0.028388303060968213j),,
124,113,114,(0.019415869469932328+0.009270526527434307j),,
125,18,135,(0.15851984396486382+0.005775679191584025j),(0.15536392422534953+0.0024725031728070434j),(0.07854146472102723+0.0014684105708079706j)
126,13,152,(0.4310790872770681+0.024675729646721996j),(0.26153383167588595+0.007906653264563008j),(0.2947673163689011-0.015853404405152833j)
127,160,160r,(0.34931466677537054+0.03990009527404202j),(0.20960275379154125+0.02626725924647399j),(0.24371479581334685+0.016498529038818936j)
128,60,160,(0.34931466677537054+0.03990009527404202j),(0.20960275379154125+0.02626725924647399j),(0.24371479581334685+0.016498529038818936j)
129,61,61s,(-0.02-0.00025432045750500544j),(-0.02-0.0004429474288690613j),(-0.02-0.00029208601063859937j)
130,61s,610,(-0.02-0.00025432045750500544j),(-0.02-0.0004429474288690613j),(-0.02-0.00029208601063859937j)
