,fb,tb,a,b,c
55,35,36,(0.04002481966613035+0.020023400387135275j),(0.0400261704669681+0.02002352077920295j),0j
56,36,37,(0.04000028782602076+0.020000112944579096j),0j,0j
57,36,38,0j,(0.04000628090435154+0.02000471279960656j),0j
58,38,39,0j,(0.01999990661816861+0.009999958423861255j),0j
59,3,4,0j,0j,(0.04000010179009452+0.020000048112565182j)
60,35,40,(0.1201740237318807-0.010718100023957915j),(0.11509396818714167-0.04021637560278304j),(0.1000852913064414+0.005162777892734338j)
61,40,41,0j,0j,(0.020000181564438547+0.010000087660592752j)
62,40,42,(0.12010385701154858-0.010801544237250726j),(0.11508707409191517-0.040302755191565405j),(0.08006668095003001-0.0048544095798766645j)
63,42,43,0j,(0.0399998059985539+0.019999914549349223j),0j
64,42,44,(0.1200631898483136-0.0026588260828572362j),(0.0950459838647524-0.020657991019808232j),(0.10004429916944915+2.7855834644105925e-05j)
65,44,45,(0.040006419999758645+0.020004752100755127j),0j,0j
66,100,450,(2.2489565929347203e-15-9.865206662778015e-17j),(-6.243207807930139e-15-1.5934843991515979e-15j),(8.28165458276643e-15-5.728574244347962e-15j)
67,45,46,(0.02000014177212689+0.010000054783538409j),0j,0j
68,44,47,(0.08002168301660414-0.02271287028959977j),(0.09502884050499417-0.020691931347762156j),(0.10001864469439388-2.3351962219923735e-05j)
69,47,48,(0.050000378559487496+0.010284049805831964j),(0.049999737106687+0.01028394851275102j),(0.05000050020736305+0.014657172205219548j)
70,47,49,(0.015015212541292301-0.036716686109854534j),(0.03001941822325315-0.029397111808112907j),(0.03500855521221956-0.035334658769306956j)
71,3,5,0j,0j,(0.06002023422362003+0.030019084977667653j)
72,49,50,(1.1147868796059924e-05-0.02200295921281385j),(-0.019980627075255594-0.03969206105628479j),(0.02000396523494827-0.01561722658549276j)
73,50,51,(8.07737546920282e-06-0.02200234365297813j),(-0.019988661495945366-0.039701581588107944j),(-0.01999584776768496-0.03562500951034188j)
74,152,52,(0.44658535294262985+0.017176691045548455j),(0.27017685495307586+0.00044395247698605813j),(0.307921390239484-0.0025753951890227036j)
75,52,53,(0.40619462716253646-0.0036074233674294426j),(0.2701691867378644+0.0002344861692535196j),(0.30768726062775237-0.0029005309557223516j)
76,53,54,(0.36600863116552107-0.023993127561127543j),(0.27014120972627587+0.0001098614338862244j),(0.3075447485369851-0.003125206397072674j)
77,54,55,(0.019999810085063813+0.00999782696347442j),(0.020002041170966104+0.01000183329336612j),(1.352608011105406e-07-2.050348994215383e-06j)
78,55,56,(-1.3407488606228378e-14+4.947162942423052e-15j),(0.01999992506142859+0.009999968133440118j),(4.046377062260571e-14+1.9079021567152945e-15j)
79,54,57,(0.3656321077357862+0.002516412416197989j),(0.26988957215476983+0.00031238639886061717j),(0.32713077120781925-5.930293557763798e-05j)
80,57,58,0j,(0.040004849929733736+0.02000365015374062j),0j
81,58,59,0j,(0.019999930306041854+0.009999971219912088j),0j
82,5,6,0j,0j,(0.040000106124070546+0.02000005028074296j)
83,57,60,(0.3848224090570379+0.00298758301108335j),(0.24942934703465458-0.0007257219660241098j),(0.3459991402528568-0.0018368863627429236j)
84,60,61,(-0.020000196175931614-0.039716253594170865j),(-0.019999963867556612-0.03082288594750004j),(-0.020000278120056225-0.03971647469751186j)
85,61s,610,(1.0825662101415944e-16-5.251625606603708e-16j),(-2.47515841320183e-16-1.5961009686985066e-16j),(1.2571605831844607e-16-2.278367702173823e-16j)
86,61,61s,(5.584255408776043e-13+5.324500653712104e-08j),(-3.7652757116021783e-13+5.4616220465245176e-08j),(-3.6346124056979565e-13+5.3295626636019765e-08j)
87,60,62,(0.04589017772666569+1.2825996879525292e-05j),(0.07010059463005539-6.232180111560956e-05j),(0.13474265311802325+0.008403238241562663j)
88,62,63,(0.045884114173253866+2.2055386459278222e-05j),(0.07006765606320399-5.149391325012039e-05j),(0.09468682162613327-0.011621206268371816j)
89,63,64,(0.025887123370035785+0.006967675460603198j),(0.08994285033908736+0.020962867796936756j),(0.11452228224221422+0.02291866013604082j)
90,64,65,(0.025888119125508938+0.006984451247808546j),(0.014950032186436786-0.014001220038930921j),(0.11426970499315817+0.0228451487723178j)
91,65,66,(-8.168736370653961e-15-6.412513053640495e-15j),(-5.660024505936711e-15-6.250608526464094e-16j),(0.0750013207578684+0.035000592301548304j)
92,160r,67,(0.3585390538391891+0.07118902589442341j),(0.21922179905187736+0.05167959325022029j),(0.25060743966115706+0.06875594539916605j)
93,67,68,(0.12022784925050817+0.060225560817977475j),0j,0j
94,68,69,(0.10008492762763048+0.05008223735983151j),0j,0j
95,1,7,(0.7978771007054523+0.020454933626755774j),(0.33909058584980334-0.0015287141210702246j),(0.4709828996752601-0.0037033107349965138j)
96,69,70,(0.06002365454463595+0.03002209512271477j),0j,0j
97,70,71,(0.04000052607654113+0.02000022432817623j),0j,0j
98,67,72,(0.17715190857472068+0.020704122136601014j),(0.2189128981105358+0.05015361567334298j),(0.23010816184188565+0.06836397745081352j)
99,72,73,0j,0j,(0.12015194686382245+0.06014897968338042j)
100,73,74,0j,0j,(0.08003479969930209+0.04003241127876686j)
101,74,75,0j,0j,(0.040000758477804176+0.02000036588196746j)
102,72,76,(0.17705773991032173+0.020592643632155887j),(0.2188111446139949+0.049899280085902845j),(0.10976260586850249+0.007981946495817021j)
103,76,77,(0.07999886077912378+0.04006295866059698j),(0.08001826670519996+0.03999920871534409j),(0.08026624330607454+0.04030519579526434j)
104,77,78,(0.07999681447920431+0.040044038517679376j),(0.040017181800323404+0.01999843859367771j),(0.08025143359377494+0.04029062090786002j)
105,78,79,(0.040000418323656514+0.020000163886966762j),(8.512934747613574e-15+3.2019334316194565e-14j),(5.5888307164481043e-14+1.0167999323253926e-14j)
106,7,8,(0.796416576632674+0.04683598922480136j),(0.35932321308340026+0.0038440042026014415j),(0.49022103768631975+0.007052366960784594j)
107,78,80,(0.03999814112879869+0.020019416169987383j),(0.03999957166681987+0.019994915280908136j),(0.08020181790613556+0.04019996900163484j)
108,80,81,(0.04000410208248106+0.020011893468744008j),(-2.2568775412633222e-07-3.733202414498743e-06j),(0.08017388884563276+0.04016414187790133j)
109,81,82,(0.04000068571606229+0.019998152200545526j),(-1.1281745117341756e-07-1.8668352494245578e-06j),(0.020002031656236423+0.010002095531771695j)
110,82,83,(2.5006860616298188e-14+5.2754982303833635e-14j),(-1.7820269732404136e-14-4.763610779802058e-14j),(0.02000037048642473+0.010000178006056983j)
111,81,84,0j,0j,(0.06004085475221828+0.030038317677377874j)
112,84,85,0j,0j,(0.04000081805804338+0.020000395578794697j)
113,76,86,(0.0200684158578603-0.03262757908464885j),(0.0800644720257992-0.02760485743330704j),(-0.019976301978384948-0.04291636860599853j)
114,86,87,(0.04004321453939611+0.007080665785548208j),(0.08004178687014238+0.0020197959411263947j),(2.5300699184708264e-05-0.0031970280647752934j)
115,87,88,(0.040000416941088114+0.020000164045999275j),0j,0j
116,87,89,(2.840944423784208e-05-0.012930760701152184j),(0.04003471979460933-0.017993424562026877j),(2.5610892524282234e-05-0.003195017301109192j)
117,8,9,(0.10010339583592365+0.05009980403844296j),0j,0j
118,89,90,0j,(0.03999988427365008+0.019999957177506328j),0j
119,89,91,(2.6872610090068972e-05-0.012929098629112044j),(1.1428454409586265e-05-0.03802079221498654j),(2.599005507558877e-05-0.003192945403083835j)
120,91,92,0j,0j,(0.040000673742289376+0.020000321289933867j)
121,91,93,(0.020023334228518503+0.0003272386468061313j),(0.02001220078725491+0.00041810813249668717j),(-0.02000051852041898+0.00047938513922906895j)
122,93,94,(0.04000042333377942+0.020000167591847823j),0j,0j
123,93,95,(7.0919385593769514e-15-4.077007302994436e-14j),(0.04000390572841793+0.020002964151783424j),(-3.3167731095110596e-14+2.2889502525348252e-14j)
124,95,96,0j,(0.019999940932959242+0.009999978040084087j),0j
125,67,97,(0.06096278561385573-0.010088188371433647j),(0.0001053026831170285+0.0012959557893641362j),(0.02037021861394015+6.0236732596826184e-05j)
126,97,98,(1.5713911353790136e-05+0.0056330176278521j),(-4.849233213482876e-06+0.02061036919656577j),(4.1574482155894656e-05-0.04043355353733509j)
127,98,99,(-0.039995442850924864-0.014412512061502474j),(-3.918186179456824e-06+0.02059592929888101j),(8.497241448632848e-06-0.04046378892258086j)
128,9,9r,(0.06010321452867254+0.030099526161263428j),0j,0j
