,fb,tb,a,b,c
64,42,44,(0.12007355272770606+0.0009719352950321663j),(0.09505404808707069-0.020417714186512694j),(0.10004838136686006+0.0030196235962432908j)
65,44,45,(0.04000928949630712+0.020006782554325142j),0j,0j
66,100,450,(-3.1348537683569492e-15+1.4949772616216456e-16j),(1.0665199217447748e-15+1.7930613751363642e-15j),(4.028430370265093e-15-7.352214698322724e-15j)
67,45,46,(0.020001243578426663+0.010000648677702211j),0j,0j
68,44,47,(0.08002490950770484-0.01908997436497056j),(0.09503649594220127-0.0204556445140266j),(0.10001975747439026+0.0029634042632869385j)
69,47,48,(0.050003209432079664+0.010284843077367921j),(0.050001109112676044+0.010284177535608586j),(0.05000122154212633+0.01630545858349517j)
70,47,49,(0.0150145519663883-0.03339148440402026j),(0.030024111987917993-0.029392450367720396j),(0.035008262250101396-0.0335013963577764j)
71,3,5,0j,0j,(0.060022809502988925+0.03002159129143217j)
72,49,50,(1.0033554805734639e-05-0.018676372495385375j),(-0.01997745592421272-0.039688969934584185j),(0.02000337212727213-0.013783913456794371j)
73,50,51,(7.30131771796664e-06-0.018675328806468997j),(-0.01998677969742467-0.03969977872647703j),(-0.01999649784006496-0.033792857337233334j)
74,152,52,(0.4461249320089507+0.04457411922034808j),(0.2693115093320376+0.01801074502401703j),(0.30874238747312266+0.02562286644421656j)
75,52,53,(0.40569370336626703+0.02368991115867463j),(0.2693102635392905+0.017789354412385525j),(0.3084697705861354+0.02525779372056546j)
76,53,54,(0.3654880247654936+0.0032579055438057476j),(0.2692836354645421+0.01765627508770219j),(0.3083057514573227+0.025006142256268137j)
77,54,55,(0.020000700144688636+0.00999851309875672j),(0.020002459499035504+0.01000253654485521j),(1.252590413351884e-07-1.851528022718801e-06j)
78,55,56,(1.869248948123044e-14-1.7806561834888812e-14j),(0.020000190989458953+0.010000085024405518j),(-8.407514972124396e-15+1.5013455708945837e-14j)
79,54,57,(0.36507077964241424+0.02787619467074505j),(0.2690157822655749+0.01714247702835477j),(0.32783274775285065+0.02430411712704807j)
80,57,58,0j,(0.04000607024979533+0.02000457130222939j),0j
81,58,59,0j,(0.020000338300580518+0.01000016187715774j),0j
82,5,6,0j,0j,(0.04000042833678181+0.020000219023892492j)
83,57,60,(0.3841864561990931+0.026550462056103553j),(0.24851665149255028+0.016483258690905698j),(0.3465443433268453+0.02254976482699743j)
84,60,61,(-0.0200011008628611-0.03971824520546906j),(-0.02000015334218338-0.025974267761050853j),(-0.020000565036653824-0.03971726847977645j)
85,61s,610,(-1.343295128545944e-16-2.407199642049189e-16j),(-2.5737658814624937e-16-4.3413873917477825e-16j),(5.956511330987857e-17-1.0813114105253847e-16j)
86,61,61s,(3.921133578249636e-13+4.784746706834937e-08j),(8.673198771264045e-13+5.012088093725496e-08j),(-1.5401208970644563e-13+4.797963659521068e-08j)
87,60,62,(0.04583205218455588+0.0019196347140389267j),(0.07033403757406388+0.0005555957252510779j),(0.13465643586431927+0.011522834953328544j)
88,62,63,(0.045824928784506634+0.0019270759638241892j),(0.07029828185664282+0.0005646771867707247j),(0.09459455091690312-0.008506886246240108j)
89,63,64,(0.02582730551114565+0.006777901355027878j),(0.09016180266808867+0.021180180364081484j),(0.11441171746749361+0.02292977150179619j)
90,64,65,(0.025828478296757565+0.006789540413816558j),(0.015167102290173439-0.013787410908929995j),(0.1141312615855089+0.022840871872192463j)
91,65,66,(1.4671604651655873e-15+8.481800794563145e-15j),(-3.755669220173395e-15+2.2216747638976103e-15j),(0.07500423999665766+0.03500217850377339j)
92,160r,67,(0.35788309688870434+0.0926244509532267j),(0.2180644975568715+0.05975843147448261j),(0.2511372773827124+0.0816862141799485j)
93,67,68,(0.12027019642366538+0.06026631922971792j),0j,0j
94,68,69,(0.10010361147441729+0.050099248603290604j),0j,0j
95,1,7,(0.7979414218714403+0.06742434671092543j),(0.3382452277002475+0.010380315258634422j),(0.4722252891066638+0.028121054888792334j)
96,69,70,(0.06003057380391198+0.030027866741188795j),0j,0j
97,70,71,(0.04000272443264974+0.020001488473788888j),0j,0j
98,67,72,(0.1770486073400792+0.02586815167448304j),(0.21769150968649328+0.05570770410878206j),(0.23056334904244613+0.07361408648746956j)
99,72,73,0j,0j,(0.12017904672408147+0.060175718083391255j)
100,73,74,0j,0j,(0.08004261946044416+0.04003970185624499j)
101,74,75,0j,0j,(0.04000211398373404+0.020001255888628514j)
102,72,76,(0.17693794219660017+0.025737808968289477j),(0.21757054195694883+0.055403419902340524j),(0.11016069955195043+0.013168736041105824j)
103,76,77,(0.08000263197347708+0.04007835343401789j),(0.08002481423396099+0.040005647027271204j),(0.08030955060485959+0.04035974980657079j)
104,77,78,(0.08000020215264447+0.04005630759265179j),(0.04002215499552038+0.020003344558922276j),(0.08029253279244845+0.04034269025059059j)
105,78,79,(0.04000254575595909+0.020001375620463308j),(-2.4981597547254624e-14-3.360176612645365e-14j),(2.2684776456324258e-14-6.636478536694406e-15j)
106,7,8,(0.7963071369201267+0.09158128810635248j),(0.3585228930820439+0.01682294696801057j),(0.491354824348382+0.03990606763566923j)
107,78,80,(0.039999677727636955+0.020025193521113042j),(0.04000111996242242+0.01999683599283357j),(0.08023556895472786+0.040236218117051595j)
108,80,81,(0.040006617830133+0.020016107582173117j),(-1.9205743751397674e-07-3.1341632991666715e-06j),(0.08020325857884036+0.04019436402697593j)
109,81,82,(0.04000273141840448+0.0199996170392832j),(-9.60035686243541e-08-1.5673122760566765e-06j),(0.020002766571685347+0.010003347193038784j)
110,82,83,(6.351636529273134e-15+4.1459367362164673e-14j),(7.849873828089126e-15+5.008195813324633e-15j),(0.020000803367310083+0.010000498889520856j)
111,81,84,0j,0j,(0.06004888660961107+0.030046213808686096j)
112,84,85,0j,0j,(0.04000206295376488+0.02000125146956166j)
113,76,86,(0.020080916664392837-0.027625297429853344j),(0.0800768173430947-0.020831325738770688j),(-0.019970329027030775-0.03817519534396276j)
114,86,87,(0.04005139559372422+0.012080108293281029j),(0.08005099324227044+0.008774814215190687j),(3.010918384877874e-05+0.0007066365519996783j)
115,87,88,(0.04000281742770658+0.020001504171152797j),0j,0j
116,87,89,(3.19913181413271e-05-0.00793525942465987j),(0.040042354694549594-0.011241359054997969j),(3.022613513269067e-05+0.0007088096367731486j)
117,8,9,(0.10011728364493035+0.05011307202520808j),0j,0j
118,89,90,0j,(0.04000135559923478+0.020001111926943958j),0j
119,89,91,(3.098292580444206e-05-0.00793361682425986j),(1.4264605045800634e-05-0.03127273970701888j),(3.0283139655605393e-05+0.0007104784367569047j)
120,91,92,0j,0j,(0.0400009611582849+0.020000630506029696j)
121,91,93,(0.020028188945366926+0.00154663162892161j),(0.020015520376113687+0.0018285080981232259j),(-0.020000608643583013-0.0002833340643208739j)
122,93,94,(0.04000291431752715+0.020001554458284717j),0j,0j
123,93,95,(1.0016624040375496e-14+3.2896792658697064e-14j),(0.04000606059833499+0.02000503931962655j),(2.2779452874036586e-14-6.624194278665484e-15j)
124,95,96,0j,(0.0200006463094996+0.010000542885920996j),0j
125,67,97,(0.06033631862268378+0.006089579399944705j),(0.00012801287204757135+0.0037707006828978412j),(0.02042683251798008+0.007680665816878159j)
126,97,98,(1.8641676928640834e-05+0.009997125792609515j),(-5.7747821098582785e-06+0.019695377029399164j),(4.444786065833977e-05-0.03922464029081011j)
127,98,99,(-0.039997028903905905-0.01005471131843434j),(-4.279030217119725e-06+0.019678425755388404j),(9.080466701660043e-06-0.03925985664197086j)
128,9,9r,(0.060116054536258484+0.030112210060679722j),0j,0j
